segment_id,asset_name,target_asset_es,line_id,speaker_locked,translation_ru
dialogue:DIG_Intro (en-US):line:09bbfe5,DIG_Intro (en-US),DIG_Intro (es),line:09bbfe5,Coach,Ура! Сегодня день игры!
dialogue:DIG_Intro (en-US):line:0fa5e71,DIG_Intro (en-US),DIG_Intro (es),line:0fa5e71,Coach,Устраивайтесь поудобнее... потому что мы едем в Египет!! Сегодняшний матч пройдёт в Гробнице Первого Эскаписта!
dialogue:DIG_Intro (en-US):line:0c74dc1,DIG_Intro (en-US),DIG_Intro (es),line:0c74dc1,Coach,"Надеюсь, вам нравится песок — Гробница Первого Эскаписта им просто напичкана! И <i>именно там</i> мы и проведём сегодняшний матч!"
dialogue:DIG_Intro (en-US):line:040f0e2,DIG_Intro (en-US),DIG_Intro (es),line:040f0e2,Coach,"Историки будут в восторге! Мы возвращаемся туда, где всё началось (и где для одного из нас закончилось)... в Гробницу Первого Эскаписта!"
dialogue:DIG_Intro (en-US):line:0cd1f06,DIG_Intro (en-US),DIG_Intro (es),line:0cd1f06,Coach,"Надеюсь, вы напились воды и готовы к жаркому запуску! Трасса будет раскалена до предела..."
dialogue:DIG_Intro (en-US):line:0263da7,DIG_Intro (en-US),DIG_Intro (es),line:0263da7,Coach,"Лучше бы вы держали форму, иначе Первому Эскаписту придётся делить гробницу с новым соседом!"
dialogue:DIG_Intro (en-US):line:02b60fb,DIG_Intro (en-US),DIG_Intro (es),line:02b60fb,Coach,"И помните: некоторые головоломки требуют чуть больше размышлений. Так что сделайте вдох, держите Хорус-ес... и решайте!"
dialogue:DIG_Intro (en-US):line:0db300a,DIG_Intro (en-US),DIG_Intro (es),line:0db300a,Coach,"И имейте в виду: если вы этого <i>не хотите</i>, победа останется лишь миражом!"
dialogue:DIG_Intro (en-US):line:01947a4,DIG_Intro (en-US),DIG_Intro (es),line:01947a4,Coach,"И не забывайте: вы там ходите по чьему-то могиле, так что, э-э... сделайте ему честь!"
dialogue:DIG_Intro (en-US):line:0fbf1ba,DIG_Intro (en-US),DIG_Intro (es),line:0fbf1ba,Coach,"И помните: легко утонуть в головоломках, так что будьте готовы выкапывать себя, если хотите победить!"
dialogue:DIG_Intro (en-US):line:0ecb352,DIG_Intro (en-US),DIG_Intro (es),line:0ecb352,Coach,И не переживай: ты всегда можешь сделать перерыв от головоломок и засунуть голову в песок... если тебе не жалко <i>проиграть</i>.
dialogue:DIM_Intro (en-US):line:0796fc8,DIM_Intro (en-US),DIM_Intro (es),line:0796fc8,Headmaster,Получилось... Получилось! Я взял портал под контроль!
dialogue:DIM_Intro (en-US):line:07dbc95,DIM_Intro (en-US),DIM_Intro (es),line:07dbc95,HenchmanA,"Чёрт, этот директор — настоящая машина. Интересно, в Академии сейчас набирают персонал..."
dialogue:DIM_Intro (en-US):line:02bbe69,DIM_Intro (en-US),DIM_Intro (es),line:02bbe69,Headmaster,"Думаю, я смогу удержать поток измерений достаточно долго, чтобы кто-то успел войти и вернуться обратно."
dialogue:DIM_Intro (en-US):line:0c047d1,DIM_Intro (en-US),DIM_Intro (es),line:0c047d1,Headmaster,У Джеба ещё есть шанс!
dialogue:DIM_Intro (en-US):line:002919e,DIM_Intro (en-US),DIM_Intro (es),line:002919e,Headmaster,"Но кто знает, в каком он будет состоянии, когда мы его вытащим. Гиллиан, свяжись по рации с профессором Слип и профессором Бонильей в Академии."
dialogue:DIM_Intro (en-US):line:0d8f416,DIM_Intro (en-US),DIM_Intro (es),line:0d8f416,Headmaster,"Возможно, нам придётся быть готовыми к быстрому отступлению."
dialogue:DIM_Intro (en-US):line:008e7ec,DIM_Intro (en-US),DIM_Intro (es),line:008e7ec,Rival,Уже занимаюсь.
dialogue:DIM_Intro (en-US):line:07a2acf,DIM_Intro (en-US),DIM_Intro (es),line:07a2acf,Liz,"Ты никогда не справишься, Сэнди. Это невозможно! Моя наука безупречна."
dialogue:DIM_Intro (en-US):line:038384b,DIM_Intro (en-US),DIM_Intro (es),line:038384b,Headmaster,"Увидим. Думаю, пришло время моим лучшим ученикам блеснуть..."
dialogue:DIM_Intro (en-US):line:02c3d02,DIM_Intro (en-US),DIM_Intro (es),line:02c3d02,Headmaster,"Увидим. Думаю, пришло время моему лучшему ученику блеснуть..."
dialogue:DIM_Outro (en-US):line:0184958,DIM_Outro (en-US),DIM_Outro (es),line:0184958,Jeb,Просто червоточины! Мы справились! И всё благодаря тебе!
dialogue:DIM_Outro (en-US):line:0a78e2c,DIM_Outro (en-US),DIM_Outro (es),line:0a78e2c,Headmaster,"Слава звёздам... Не думаю, что я смог бы удержать портал стабильным ещё дольше! Рад, что тебе удалось выбраться."
dialogue:DIM_Outro (en-US):line:00f0bf1,DIM_Outro (en-US),DIM_Outro (es),line:00f0bf1,Rival,"Дважды спасали мир. Я знал, что ты справишься."
dialogue:DIM_Outro (en-US):line:086976d,DIM_Outro (en-US),DIM_Outro (es),line:086976d,Liz,"Это было... потрясающе. Вы так быстро сплотились... и при таком стрессе. Я не думала, что у этой кучки второсортных эскапистов есть на это силы..."
dialogue:DIM_Outro (en-US):line:0728291,DIM_Outro (en-US),DIM_Outro (es),line:0728291,Jeb,Ну конечно. Именно этому нас и учат в Академии.
dialogue:DIM_Outro (en-US):line:0ec9433,DIM_Outro (en-US),DIM_Outro (es),line:0ec9433,Headmaster,"Если бы только ты их послушала, Лиз..."
dialogue:DIM_Outro (en-US):line:06f2dd5,DIM_Outro (en-US),DIM_Outro (es),line:06f2dd5,Liz,"Может, и надо было. Но эта дверь уже закрыта. Просто... дай своим ученикам больше, чем наш директор дал мне."
dialogue:DIM_Outro (en-US):line:08f2a6b,DIM_Outro (en-US),DIM_Outro (es),line:08f2a6b,Headmaster,Обещаю. Я так и сделаю.
dialogue:DIM_Outro (en-US):line:0f19f59,DIM_Outro (en-US),DIM_Outro (es),line:0f19f59,Headmaster,"Гиллиан, сколько времени до того, как EscapeBoat дойдёт до берега?"
dialogue:DIM_Outro (en-US):line:0c84b8f,DIM_Outro (en-US),DIM_Outro (es),line:0c84b8f,Rival,Это займёт время. У нас точно есть чем заняться.
dialogue:DIM_Outro (en-US):line:029fe5d,DIM_Outro (en-US),DIM_Outro (es),line:029fe5d,HenchmanA_@henchmanA,Ну... если мы закончили со всеми драками... в лаборатории много всего нужно убрать. Начнём?
dialogue:DIM_Outro (en-US):line:0c52197,DIM_Outro (en-US),DIM_Outro (es),line:0c52197,Jeb,"Эм... я люблю уборку в лаборатории не меньше других, но... может, мы могли бы вместо этого устроить себе <i>короткий</i> отпуск?"
dialogue:DIM_Outro (en-US):line:025883a,DIM_Outro (en-US),DIM_Outro (es),line:025883a,HenchmanB_@henchmanB,"О, это вариант? Да, я за отпуск."
dialogue:DIM_Outro (en-US):line:03241b1,DIM_Outro (en-US),DIM_Outro (es),line:03241b1,Headmaster,"Тогда, похоже, всё решено. Кажется, я слышу, как зовёт пляж..."
dialogue:EMO_Intro (en-US):line:0dbf6cb,EMO_Intro (en-US),EMO_Intro (es),line:0dbf6cb,,БАМ!
dialogue:EMO_Intro (en-US):line:0451cfa,EMO_Intro (en-US),EMO_Intro (es),line:0451cfa,Rival,"Наконец-то! Я уж думал, этот замок никогда не поддастся."
dialogue:EMO_Intro (en-US):line:066f491,EMO_Intro (en-US),EMO_Intro (es),line:066f491,Rival,"Что за черт... Всё завешано. Похоже, тут давно никто не был..."
dialogue:EMO_Intro (en-US):line:0b57f8b,EMO_Intro (en-US),EMO_Intro (es),line:0b57f8b,Rival,Что-то тут не так.
dialogue:EMO_Intro (en-US):line:0e39e03,EMO_Intro (en-US),EMO_Intro (es),line:0e39e03,Rival,Будь готов ко всему. У меня плохое предчувствие...
dialogue:EMO_Outro (en-US):line:0542a59,EMO_Outro (en-US),EMO_Outro (es),line:0542a59,Rival,"Это... это безумие. Ил был роботом с того момента, как сюда попал? Всё это время?"
dialogue:EMO_Outro (en-US):line:052b565,EMO_Outro (en-US),EMO_Outro (es),line:052b565,Rival,"И этот лифт. Очевидно, мы не должны были его находить. Куда бы он ни вёл... это наш лучший шанс разобраться, что тут происходит."
dialogue:EMO_Outro (en-US):line:06bf8cf,EMO_Outro (en-US),EMO_Outro (es),line:06bf8cf,Rival,"Похоже, его нужно активировать снаружи. Кому-то из нас придётся остаться."
dialogue:EMO_Outro (en-US):line:0647815,EMO_Outro (en-US),EMO_Outro (es),line:0647815,Rival,"Не верю, что говорю это, но... хотя мне бы очень хотелось самой распутать этот клубок..."
dialogue:EMO_Outro (en-US):line:0f07c2f,EMO_Outro (en-US),EMO_Outro (es),line:0f07c2f,Rival,"Мы оба знаем, кто должен спуститься туда."
dialogue:EMO_Outro (en-US):line:0951ad0,EMO_Outro (en-US),EMO_Outro (es),line:0951ad0,Rival,Это должны быть вы двое.
dialogue:EMO_Outro (en-US):line:0d54e26,EMO_Outro (en-US),EMO_Outro (es),line:0d54e26,Rival,Это должен быть ты.
dialogue:EMO_Outro (en-US):line:013a40f,EMO_Outro (en-US),EMO_Outro (es),line:013a40f,Rival,"Вернись в целости и сохранности. Ну, давай. Пока я не передумала."
dialogue:EXP_Intro (en-US):line:0204676,EXP_Intro (en-US),EXP_Intro (es),line:0204676,Liz,"Слушайте внимательно, эскаписты. Все мои исследования, бесчисленные эксперименты... всё это привело меня сюда."
dialogue:EXP_Intro (en-US):line:0e591d0,EXP_Intro (en-US),EXP_Intro (es),line:0e591d0,Liz,"Взгляните! Моё великое творение. Портал в пустоту, которую я называю... Измерением Захвата. С ним вы скоро познакомитесь очень... <i>очень</i> близко."
dialogue:EXP_Intro (en-US):line:019c603,EXP_Intro (en-US),EXP_Intro (es),line:019c603,Headmaster,"Я бы не рассчитывал на это. Гиллиан, Джеб... сейчас!"
dialogue:EXP_Intro (en-US):line:07e6e68,EXP_Intro (en-US),EXP_Intro (es),line:07e6e68,Liz,Ваши оковы... но как?!
dialogue:EXP_Intro (en-US):line:079b41b,EXP_Intro (en-US),EXP_Intro (es),line:079b41b,Jeb,"Эй, э-э... ребята? Мои наручники не снимаются! Я не могу их снять--"
dialogue:EXP_Intro (en-US):line:0fb8905,EXP_Intro (en-US),EXP_Intro (es),line:0fb8905,Liz,"Иди сюда, дубина... Прости, Сэнди! Ты, конечно, хороша... но похоже, ты не всех своих учеников так хорошо обучила. Теперь <i>этот</i> заплатит за это!"
dialogue:EXP_Intro (en-US):line:065622a,EXP_Intro (en-US),EXP_Intro (es),line:065622a,Headmaster,"Нет, остановись!!"
dialogue:EXP_Intro (en-US):line:069a2c0,EXP_Intro (en-US),EXP_Intro (es),line:069a2c0,Jeb,"Эй, отпусти меня!"
dialogue:EXP_Intro (en-US):EXP_Intro-Start-0,EXP_Intro (en-US),EXP_Intro (es),EXP_Intro-Start-0,Jeb,Отпусти меняеееее---*
dialogue:EXP_Intro (en-US):line:00b3af7,EXP_Intro (en-US),EXP_Intro (es),line:00b3af7,Rival,Чёрт побери! Джеб!!
dialogue:EXP_Intro (en-US):line:047872b,EXP_Intro (en-US),EXP_Intro (es),line:047872b,Headmaster,"Лиз, что ты наделала? Он не заслужил этого!"
dialogue:EXP_Intro (en-US):line:09935f7,EXP_Intro (en-US),EXP_Intro (es),line:09935f7,Liz,Конечно заслужил! Вы все! И скоро присоединитесь к нему в его бесконечном проклятии. Мне просто нужно больше силы... больше... больше!!!
dialogue:EXP_Intro (en-US):line:05af123,EXP_Intro (en-US),EXP_Intro (es),line:05af123,HenchmanA,Доктор! Остановитесь! Вы перегрузите портал! Его будет невозможно контролировать! Наша лаборатория будет уничтожена!
dialogue:EXP_Intro (en-US):line:0ac1644,EXP_Intro (en-US),EXP_Intro (es),line:0ac1644,Liz,Тогда это достойная жертва! Ни один эскапист не ускользнет от моего гнева! НИ ОДИН!!!!
dialogue:EXP_Outro (en-US):line:085726f,EXP_Outro (en-US),EXP_Outro (es),line:085726f,Liz,Прихвостни! Помогите мне! Быстро!
dialogue:EXP_Outro (en-US):line:08c1401,EXP_Outro (en-US),EXP_Outro (es),line:08c1401,HenchmanA_@henchmanA,"Э-э... нет, спасибо. Нам всем будет спокойнее, если вы останетесь привязанной к этому креслу."
dialogue:EXP_Outro (en-US):line:0b9517b,EXP_Outro (en-US),EXP_Outro (es),line:0b9517b,HenchmanB_@henchmanB,"Да, вы ведь только что пытались нас убить, так что..."
dialogue:EXP_Outro (en-US):line:00af2f8,EXP_Outro (en-US),EXP_Outro (es),line:00af2f8,Liz,"Что?! Вы, идиоты! Помогите мне немедленно! Все... кто-нибудь... хоть кто-нибудь!.. Чёрт!"
dialogue:EXP_Outro (en-US):line:019a7e7,EXP_Outro (en-US),EXP_Outro (es),line:019a7e7,Headmaster,"Ты проиграла, Лиз. Пора смириться."
dialogue:EXP_Outro (en-US):line:03cb27c,EXP_Outro (en-US),EXP_Outro (es),line:03cb27c,Liz,Ха-ха-ха. Я не проиграла. Как только кто-то попадает в моё Измерение Захвата... конец. Шоу окончено!
dialogue:EXP_Outro (en-US):line:03d89ae,EXP_Outro (en-US),EXP_Outro (es),line:03d89ae,Liz,Для бедного Джеба... <i>возврата нет.</i>
dialogue:EXP_Outro (en-US):line:084d2cd,EXP_Outro (en-US),EXP_Outro (es),line:084d2cd,HenchmanA_@henchmanA,Ну...
dialogue:EXP_Outro (en-US):line:07823a2,EXP_Outro (en-US),EXP_Outro (es),line:07823a2,Rival,Ну?
dialogue:EXP_Outro (en-US):line:010af2e,EXP_Outro (en-US),EXP_Outro (es),line:010af2e,HenchmanB_@henchmanB,Ну... это не совсем... <i>технически</i> верно...
dialogue:EXP_Outro (en-US):line:0a6c3b4,EXP_Outro (en-US),EXP_Outro (es),line:0a6c3b4,HenchmanA_@henchmanA,"Мы никогда этого не проверяли, но теоретически..."
dialogue:EXP_Outro (en-US):EXP_Outro-Start-0,EXP_Outro (en-US),EXP_Outro (es),EXP_Outro-Start-0,HenchmanA_@henchmanA,Кто-то мог бы заставить портал работать в обе стороны... <i>если</i> перенастроить поток измерений.
dialogue:EXP_Outro (en-US):line:0057fa8,EXP_Outro (en-US),EXP_Outro (es),line:0057fa8,Liz,"Погоди, о чём ты? Это невозможно!"
dialogue:EXP_Outro (en-US):line:0f6f4cb,EXP_Outro (en-US),EXP_Outro (es),line:0f6f4cb,Headmaster,Дайте-ка посмотреть...
dialogue:FB_GEN_1 (en-US):line:0f74ae0,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0f74ae0,,*Щелк!*
dialogue:FB_GEN_1 (en-US):line:065291d,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:065291d,Horatio,"--и вот, господа! Башня директора официально... открыта!"
dialogue:FB_GEN_1 (en-US):line:0b2a372,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0b2a372,Horatio,"Я знаю, что мы все ждали этого момента очень долго... может быть, я даже больше всех."
dialogue:FB_GEN_1 (en-US):line:0e66dbd,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0e66dbd,Horatio,"В конце концов, это мой кабинет."
dialogue:FB_GEN_1 (en-US):line:0ddbdea,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0ddbdea,Horatio,"Но что будет после перерезания ленточки?! Ну, я сохранил самое лучшее... напоследок."
dialogue:FB_GEN_1 (en-US):line:0e9eb9a,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0e9eb9a,Horatio,"Это совершенно новая концепция — по сути, видение! — придуманное целиком и полностью мной, Горацио Виндзором! Я называю это... <i>Комната соперников.</i>"
dialogue:FB_GEN_1 (en-US):line:028412d,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:028412d,Horatio,"И вот, чтобы помочь мне продемонстрировать этот совершенно новый конкурс, здесь присутствуют двое наших самых выдающихся студентов. Давайте поаплодируем..."
dialogue:FB_GEN_1 (en-US):line:0a7f0fc,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0a7f0fc,Horatio,Сандра Соланж и Ил Барнс!
dialogue:FB_GEN_1 (en-US):line:05d1332,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:05d1332,Horatio,Посмотрите на них. Какие же они отличные спортсмены.
dialogue:FB_GEN_1 (en-US):line:0e691e0,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:0e691e0,Horatio,"Особенно учитывая, что их сейчас ждут самые дьявольские... изматывающие... <i>смертельные</i> головоломки, когда-либо придуманные!!!"
dialogue:FB_GEN_1 (en-US):line:00cbbbb,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:00cbbbb,YoungSandy,"Можно было бы заранее предупредить про «смертельные» детали, директор."
dialogue:FB_GEN_1 (en-US):line:02f494d,FB_GEN_1 (en-US),NEW_es_FB_GEN_1,line:02f494d,YoungEel,Ха. Вот это сюрприз по моему вкусу.
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-0,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-0,Horatio,"Дети. Привет! А, здравствуйте... Дверь заперта, верно? Хорошо, хорошо..."
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-1,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-1,Horatio,<i>Какой же проклятый кошмар!</i> Всё пошло не так — я полностью потерял контроль над ситуацией!
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-2,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-2,Horatio,Квест рухнул? Совсем не специально!
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-3,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-3,YoungEel,"Похоже, вам повезло, что мы были рядом."
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-4,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-4,YoungSandy,"Директор, что происходит?"
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-5,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-5,Horatio,Скажу вам — кто-то в Академии побегов пытается <i>убить</i> меня!
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-6,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-6,Horatio,"Конечно, за свою жизнь я нажил пару врагов. Какой директор без них обходится?"
dialogue:FB_GEN_2 (en-US):FB_GEN_2-Start-7,FB_GEN_2 (en-US),NEW_es_FB_GEN_2,FB_GEN_2-Start-7,Horatio,Но послушайте! До большого дебюта доступ в Комнату соперников имели лишь трое... и все они на моей зарплате!
