segment_id,asset_name,target_asset_es,cue_number,translation_ru
subtitle:Allie_POT_FlowerArrangementsGive:1,Allie_POT_FlowerArrangementsGive,Allie_POT_FlowerArrangementsGive_es,1,[ПРОФЕССОР БОНИЛЬЯ] Цветочные композиции у меня всегда вызывают мурашки.
subtitle:Allie_POT_GettingHotterPlants:1,Allie_POT_GettingHotterPlants,Allie_POT_GettingHotterPlants_es,1,[ПРОФЕССОР БОНИЛЬЯ] Становится жарче! Мои растения в восторге!
subtitle:Allie_POT_HopeYoureWarmed:1,Allie_POT_HopeYoureWarmed,Allie_POT_HopeYoureWarmed_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Надеюсь, ты разогрелся! Если нет, скоро будет жарко!"
subtitle:Allie_POT_LookingForThat:1,Allie_POT_LookingForThat,Allie_POT_LookingForThat_es,1,[ПРОФЕССОР БОНИЛЬЯ] Ой! Я так долго это искала!
subtitle:Allie_POT_NearlyBoiling:1,Allie_POT_NearlyBoiling,Allie_POT_NearlyBoiling_es,1,[ПРОФЕССОР БОНИЛЬЯ] Ох! Там уже почти кипит!
subtitle:Allie_POT_NotBigFan:1,Allie_POT_NotBigFan,Allie_POT_NotBigFan_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Ох, мне это не по душе!"
subtitle:Allie_POT_WakeUpTeaPlants:1,Allie_POT_WakeUpTeaPlants,Allie_POT_WakeUpTeaPlants_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Просыпайтесь, маленькие чайные кусты! Время для ванны!"
subtitle:Allie_POT_YouCaughtMe:1,Allie_POT_YouCaughtMe,Allie_POT_YouCaughtMe_es,1,[ПРОФЕССОР БОНИЛЬЯ] Попадись. Я до сих пор обожаю запах бензина.
subtitle:Allie_TNT_AlwaysKnewHow_Alt:1,Allie_TNT_AlwaysKnewHow_Alt,Allie_TNT_AlwaysKnewHow_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] Я всегда умела их делать.
subtitle:Allie_TNT_BeepBeep:1,Allie_TNT_BeepBeep,Allie_TNT_BeepBeep_es,1,[ПРОФЕССОР БОНИЛЬЯ] Бип-бип!
subtitle:Allie_TNT_BonillasBoquetsBest:1,Allie_TNT_BonillasBoquetsBest,Allie_TNT_BonillasBoquetsBest_es,1,[ПРОФЕССОР БОНИЛЬЯ] Букеты Бонилья — лучшие в городе!
subtitle:Allie_TNT_CrackingOpenBriefcase:1,Allie_TNT_CrackingOpenBriefcase,Allie_TNT_CrackingOpenBriefcase_es,1,[ПРОФЕССОР БОНИЛЬЯ] Взломать бомбу в кейсе — это как выпить хороший кофе.
subtitle:Allie_TNT_CrackingOpenBriefcase:2,Allie_TNT_CrackingOpenBriefcase,Allie_TNT_CrackingOpenBriefcase_es,2,Но теперь я пью только чай.
subtitle:Allie_TNT_FieryHellscapesJust:1,Allie_TNT_FieryHellscapesJust,Allie_TNT_FieryHellscapesJust_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Огненные преисподние просто... не так интересны, как прорастание."
subtitle:Allie_TNT_GetToBunker:1,Allie_TNT_GetToBunker,Allie_TNT_GetToBunker_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Ладно, мне лучше спрятаться в бункере."
subtitle:Allie_TNT_IReallyHope:1,Allie_TNT_IReallyHope,Allie_TNT_IReallyHope_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Я очень надеюсь, что ты сможешь обезвредить эту штуку. Было бы обидно потерять площадь..."
subtitle:Allie_TNT_RememberFirstBomb:1,Allie_TNT_RememberFirstBomb,Allie_TNT_RememberFirstBomb_es,1,[ПРОФЕССОР БОНИЛЬЯ] Помню свою первую бомбу. Она сровняла мой гараж с землёй.
subtitle:Allie_TNT_RussianBombParts:1,Allie_TNT_RussianBombParts,Allie_TNT_RussianBombParts_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Русские детали дешевле, но, с другой стороны, менее безопасны."
subtitle:Allie_TNT_ThatTruckSemi_Alt:1,Allie_TNT_ThatTruckSemi_Alt,Allie_TNT_ThatTruckSemi_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] Этот грузовик сам виноват.
subtitle:Allie_TNT_WeDidntExplode:1,Allie_TNT_WeDidntExplode,Allie_TNT_WeDidntExplode_es,1,[ПРОФЕССОР БОНИЛЬЯ] Мы не взорвались! Я за нас рада.
subtitle:Allie_TNT_WelcomeToTent:1,Allie_TNT_WelcomeToTent,Allie_TNT_WelcomeToTent_es,1,[ПРОФЕССОР БОНИЛЬЯ] Добро пожаловать в Палатку покоя.
subtitle:Allie_TNT_YouKnowWhat:1,Allie_TNT_YouKnowWhat,Allie_TNT_YouKnowWhat_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Знаешь, что мне нравится в ботанике? Там нет лишних проводов."
subtitle:Barfomatic_1:1,Barfomatic_1,Barfomatic_1_es,1,*Тошнит*
subtitle:Barfomatic_2:1,Barfomatic_2,Barfomatic_2_es,1,*Тошнит*
subtitle:Barfomatic_3:1,Barfomatic_3,Barfomatic_3_es,1,*Тошнит*
subtitle:BoxGuy_TDA_DontWorryFine:1,BoxGuy_TDA_DontWorryFine,BoxGuy_TDA_DontWorryFine_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Не волнуйтесь, мне тут хорошо... правда!"
subtitle:BoxGuy_TDA_EggSalad:1,BoxGuy_TDA_EggSalad,BoxGuy_TDA_EggSalad_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Хорошо, что я прихватил с собой этот салат из яиц."
subtitle:BoxGuy_TDA_ItsCool:1,BoxGuy_TDA_ItsCool,BoxGuy_TDA_ItsCool_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Всё в порядке, можете выпустить меня завтра."
subtitle:BoxGuy_TDA_NotTooDiffApartment:1,BoxGuy_TDA_NotTooDiffApartment,BoxGuy_TDA_NotTooDiffApartment_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Знаете, тут почти как в моей квартире."
subtitle:BoxGuy_TDA_SmallerThanExpected:1,BoxGuy_TDA_SmallerThanExpected,BoxGuy_TDA_SmallerThanExpected_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Студия шоумена оказалась меньше, чем я ожидал."
subtitle:BoxGuy_TDA_ToPeeOrNot:1,BoxGuy_TDA_ToPeeOrNot,BoxGuy_TDA_ToPeeOrNot_es,1,"[ЧЕЛОВЕК В КОРОБКЕ] Сходить в туалет или нет, вот в чём вопрос."
subtitle:CampusPolice_HMO_YouveReachedThe:1,CampusPolice_HMO_YouveReachedThe,CampusPolice_HMO_YouveReachedThe_es,1,*Звонит телефон*
subtitle:CampusPolice_HMO_YouveReachedThe:2,CampusPolice_HMO_YouveReachedThe,CampusPolice_HMO_YouveReachedThe_es,2,[ПОЛИЦИЯ КАМПУСА] Вы позвонили в полицию кампуса. Все наши сотрудники ушли на обед.
subtitle:CampusPolice_HMO_YouveReachedThe:3,CampusPolice_HMO_YouveReachedThe,CampusPolice_HMO_YouveReachedThe_es,3,Удачи с вашей чрезвычайной ситуацией!
subtitle:CampusPolice_HMO_YouveReachedThe:4,CampusPolice_HMO_YouveReachedThe,CampusPolice_HMO_YouveReachedThe_es,4,*Кладёт трубку*
subtitle:Chef_SPY_BackInOrder:1,Chef_SPY_BackInOrder,Chef_SPY_BackInOrder_es,1,[ПОВАР КЭЛЛИОН] Давайте наведём порядок.
subtitle:Chef_SPY_BoilOver:1,Chef_SPY_BoilOver,Chef_SPY_BoilOver_es,1,[ПОВАР КЭЛЛИОН] Всё вот-вот закипит.
subtitle:Chef_SPY_DeservedIt:1,Chef_SPY_DeservedIt,Chef_SPY_DeservedIt_es,1,[ПОВАР КЭЛЛИОН] Ты это заслужил!!
subtitle:Chef_SPY_NotMakingSense:1,Chef_SPY_NotMakingSense,Chef_SPY_NotMakingSense_es,1,[ПОВАР КЭЛЛИОН] Вы несёте полную чушь!
subtitle:Chef_SPY_OldFool:1,Chef_SPY_OldFool,Chef_SPY_OldFool_es,1,"[ПОВАР КЭЛЛИОН] Не могу, старый дурак! Всё уже перегружено!"
subtitle:Chef_SPY_OutrageLoyal:1,Chef_SPY_OutrageLoyal,Chef_SPY_OutrageLoyal_es,1,[ПОВАР КЭЛЛИОН] Это скандал! Я ведь всегда был предан!
subtitle:Chef_SPY_YouCant:1,Chef_SPY_YouCant,Chef_SPY_YouCant_es,1,[ПОВАР КЭЛЛИОН] Не могу!!
subtitle:Chef_SPY_YouCant_Alt1:1,Chef_SPY_YouCant_Alt1,Chef_SPY_YouCant_Alt1_es,1,[ПОВАР КЭЛЛИОН] Не могу!!
subtitle:Chef_YUM_CarefulWithThing:1,Chef_YUM_CarefulWithThing,Chef_YUM_CarefulWithThing_es,1,[ПОВАР КЭЛЛИОН] Аккуратнее с этим — оно единственное в своём роде!
subtitle:Chef_YUM_Doesn_tTasteAntidote:1,Chef_YUM_Doesn_tTasteAntidote,Chef_YUM_Doesn_tTasteAntidote_es,1,[ПОВАР КЭЛЛИОН] Это совсем не на вкус как антидот — хрк..!
subtitle:Chef_YUM_Doesn_tTasteAntidote_Alt1:1,Chef_YUM_Doesn_tTasteAntidote_Alt1,Chef_YUM_Doesn_tTasteAntidote_Alt1_es,1,[ПОВАР КЭЛЛИОН] Это совсем не на вкус как антидот. Хрк..!
subtitle:Chef_YUM_Doesn_tTasteAntidote_Alt2:1,Chef_YUM_Doesn_tTasteAntidote_Alt2,Chef_YUM_Doesn_tTasteAntidote_Alt2_es,1,[ПОВАР КЭЛЛИОН] Это совсем не на вкус как антидот. Хрк..!
subtitle:Chef_YUM_DontBeefIt:1,Chef_YUM_DontBeefIt,Chef_YUM_DontBeefIt_es,1,[ПОВАР КЭЛЛИОН] Не порть всё там. Этот обед был создан для совершенства!
subtitle:Chef_YUM_KitchenSecondSemester:1,Chef_YUM_KitchenSecondSemester,Chef_YUM_KitchenSecondSemester_es,1,[ПОВАР КЭЛЛИОН] Обычно я не пускаю студентов на кухню до второго семестра..!
subtitle:Chef_YUM_LunchTouch:1,Chef_YUM_LunchTouch,Chef_YUM_LunchTouch_es,1,"[ПОВАР КЭЛЛИОН] Я мог бы это предвидеть, Горацио. Не каждый обладает «даром обеда»."
subtitle:Chef_YUM_LunchTouch_Alt1:1,Chef_YUM_LunchTouch_Alt1,Chef_YUM_LunchTouch_Alt1_es,1,"[ПОВАР КЭЛЛИОН] Я мог бы это предвидеть, Горацио. Не каждый обладает «даром обеда»."
subtitle:Chef_YUM_MuckUpKitchen:1,Chef_YUM_MuckUpKitchen,Chef_YUM_MuckUpKitchen_es,1,"[ПОВАР КЭЛЛИОН] Не уверен, что мне это нравится... Пожалуйста, не устраивайте беспорядок на моей кухне!"
subtitle:Chef_YUM_MysteryMeat:1,Chef_YUM_MysteryMeat,Chef_YUM_MysteryMeat_es,1,"[ПОВАР КЭЛЛИОН] Клянусь, мясо не такое загадочное, как может показаться по упаковке..."
subtitle:Chef_YUM_NoTouching:1,Chef_YUM_NoTouching,Chef_YUM_NoTouching_es,1,"[ПОВАР КЭЛЛИОН] Просто не трогайте там ничего лишнего, хорошо?"
subtitle:Chef_YUM_NotComfortable:1,Chef_YUM_NotComfortable,Chef_YUM_NotComfortable_es,1,[ПОВАР КЭЛЛИОН] Я всё ещё не вполне в этом уверен.
subtitle:Chef_YUM_PromiseComeBack:1,Chef_YUM_PromiseComeBack,Chef_YUM_PromiseComeBack_es,1,[ПОВАР КЭЛЛИОН] Обещаешь... хрк..!... что вернёшься..!
subtitle:Chef_YUM_SoupChef:1,Chef_YUM_SoupChef,Chef_YUM_SoupChef_es,1,"[ПОВАР КЭЛЛИОН] Ну, тут я тебе признаю... из тебя мог бы получиться отличный шеф-повар супов."
subtitle:Chef_YUM_SoupChef_Alt1:1,Chef_YUM_SoupChef_Alt1,Chef_YUM_SoupChef_Alt1_es,1,"[ПОВАР КЭЛЛИОН] Ну, тут я тебе признаю... из тебя мог бы получиться отличный шеф-повар супов."
subtitle:Chef_YUM_ThankDessert:1,Chef_YUM_ThankDessert,Chef_YUM_ThankDessert_es,1,[ПОВАР КЭЛЛИОН] Слава... богу... что... есть... десерт...
subtitle:Chef_YUM_WatchBlades:1,Chef_YUM_WatchBlades,Chef_YUM_WatchBlades_es,1,[ПОВАР КЭЛЛИОН] Осторожнее с лезвиями! Кичетрон не предназначен для детских рук!
subtitle:Coach_DIG_AllergicHumanRemains:1,Coach_DIG_AllergicHumanRemains,Coach_DIG_AllergicHumanRemains_es,1,"[ТРЕНЕР ЙОАЧ] Надеюсь, у кого-то нет аллергии на человеческие останки!"
subtitle:Coach_DIG_BodiedByBlue:1,Coach_DIG_BodiedByBlue,Coach_DIG_BodiedByBlue_es,1,"[ТРЕНЕР ЙОАЧ] Красная команда, что случилось? Вас же там разнесли синие!"
subtitle:Coach_DIG_BringBackHeiro:1,Coach_DIG_BringBackHeiro,Coach_DIG_BringBackHeiro_es,1,[ТРЕНЕР ЙОАЧ] Надо бы вернуть иероглифы в моду.
subtitle:Coach_DIG_CarbonDatingScene:1,Coach_DIG_CarbonDatingScene,Coach_DIG_CarbonDatingScene_es,1,[ТРЕНЕР ЙОАЧ] С такими решениями вы станете хитом на сцене радиоуглеродного датирования!
subtitle:Coach_DIG_ChisledShorterTablet:1,Coach_DIG_ChisledShorterTablet,Coach_DIG_ChisledShorterTablet_es,1,"[ТРЕНЕР ЙОАЧ] Если бы у меня было больше времени, я бы высекла более короткую табличку!"
subtitle:Coach_DIG_CryinMummy:1,Coach_DIG_CryinMummy,Coach_DIG_CryinMummy_es,1,"[ТРЕНЕР ЙОАЧ] О, да! Отправьте эту головоломку плакать к маме!"
subtitle:Coach_DIG_DigginAroundDirt:1,Coach_DIG_DigginAroundDirt,Coach_DIG_DigginAroundDirt_es,1,[ТРЕНЕР ЙОАЧ] Не тратьте слишком много времени на ковыряние в земле.
subtitle:Coach_DIG_GetUnderSurface:1,Coach_DIG_GetUnderSurface,Coach_DIG_GetUnderSurface_es,1,[ТРЕНЕР ЙОАЧ] Вот это да! По-настоящему копайте под поверхность!
subtitle:Coach_DIG_HEIRO-GLYPHIC:1,Coach_DIG_HEIRO-GLYPHIC,Coach_DIG_HEIRO-GLYPHIC_es,1,[ТРЕНЕР ЙОАЧ] ИЕРО-ГЛИФИЧЕСКИЙ!
subtitle:Coach_DIG_HereLiesRed:1,Coach_DIG_HereLiesRed,Coach_DIG_HereLiesRed_es,1,[ТРЕНЕР ЙОАЧ] Здесь покоится Красная команда — отправлена на раннюю могилу Синими!
subtitle:Coach_DIG_LeftInDust:1,Coach_DIG_LeftInDust,Coach_DIG_LeftInDust_es,1,"[ТРЕНЕР ЙОАЧ] Аккуратнее там... не хочу, чтобы нас оставили в пыли!"
subtitle:Coach_DIG_MatchIsHistory:1,Coach_DIG_MatchIsHistory,Coach_DIG_MatchIsHistory_es,1,[ТРЕНЕР ЙОАЧ] И матч стал историей!
subtitle:Coach_DIG_RedEroded:1,Coach_DIG_RedEroded,Coach_DIG_RedEroded_es,1,"[ТРЕНЕР ЙОАЧ] Давай, Красные! Вы просто вытравили уверенность соперника!"
subtitle:Coach_DIG_TreatGraveLikeYourGrave:1,Coach_DIG_TreatGraveLikeYourGrave,Coach_DIG_TreatGraveLikeYourGrave_es,1,"[ТРЕНЕР ЙОАЧ] Не забывайте, это гробница, так что, э-э..."
subtitle:Coach_DIG_TreatGraveLikeYourGrave:2,Coach_DIG_TreatGraveLikeYourGrave,Coach_DIG_TreatGraveLikeYourGrave_es,2,"относитесь к этой могиле так, как хотели бы, чтобы относились к вашей!"
subtitle:Coach_DIG_UnearthWin:1,Coach_DIG_UnearthWin,Coach_DIG_UnearthWin_es,1,"[ТРЕНЕР ЙОАЧ] Посмотрим, кто из вас способен выкопать победу!"
subtitle:Coach_DIG_VictoryBlueMirage:1,Coach_DIG_VictoryBlueMirage,Coach_DIG_VictoryBlueMirage_es,1,"[ТРЕНЕР ЙОАЧ] О-о! Похоже, победа Синей команды была всего лишь миражом!"
subtitle:Coach_MSC_BLAMMY:1,Coach_MSC_BLAMMY,Coach_MSC_BLAMMY_es,1,[ТРЕНЕР ЙОАЧ] БЛЭМ!
subtitle:Coach_PGG_AldousHuxley:1,Coach_PGG_AldousHuxley,Coach_PGG_AldousHuxley_es,1,[ТРЕНЕР ЙОАЧ] Осознай дверь! Стань дверью! Пройди сквозь неё!!
subtitle:Coach_PGG_AlmostScreen:1,Coach_PGG_AlmostScreen,Coach_PGG_AlmostScreen_es,1,"[ТРЕНЕР ЙОАЧ] Я так счастлив, что готов лопнуть!!!"
subtitle:Coach_PGG_AlmostThereRed:1,Coach_PGG_AlmostThereRed,Coach_PGG_AlmostThereRed_es,1,"[ТРЕНЕР ЙОАЧ] Почти готово, Красные. Осталось решить всего пару головоломок!"
subtitle:Coach_PGG_AssessSolveRepeat:1,Coach_PGG_AssessSolveRepeat,Coach_PGG_AssessSolveRepeat_es,1,[ТРЕНЕР ЙОАЧ] Оцени. Реши. Повтори!
subtitle:Coach_PGG_AtrophyATrophy:1,Coach_PGG_AtrophyATrophy,Coach_PGG_AtrophyATrophy_es,1,[ТРЕНЕР ЙОАЧ] Диванная картошка: атрофия! Решения головоломок: трофей!
subtitle:Coach_PGG_BigBlindSpot:1,Coach_PGG_BigBlindSpot,Coach_PGG_BigBlindSpot_es,1,"[ТРЕНЕР ЙОАЧ] Вау, какой огромный слепой угол!"
subtitle:Coach_PGG_Bingo:1,Coach_PGG_Bingo,Coach_PGG_Bingo_es,1,[ТРЕНЕР ЙОАЧ] БИНГО!!
subtitle:Coach_PGG_BrandNewToy:1,Coach_PGG_BrandNewToy,Coach_PGG_BrandNewToy_es,1,[ТРЕНЕР ЙОАЧ] Нашли себе новую игрушку??
subtitle:Coach_PGG_BreachClear:1,Coach_PGG_BreachClear,Coach_PGG_BreachClear_es,1,[ТРЕНЕР ЙОАЧ] Пробей и зачисти!!
subtitle:Coach_PGG_ButtressBookshelf:1,Coach_PGG_ButtressBookshelf,Coach_PGG_ButtressBookshelf_es,1,"[ТРЕНЕР ЙОАЧ] Лучше подкрепите свою полку, Синие, потому что эти трофеи весят тонну!"
subtitle:Coach_PGG_CabinetFullofEm:1,Coach_PGG_CabinetFullofEm,Coach_PGG_CabinetFullofEm_es,1,"[ТРЕНЕР ЙОАЧ] Если тебе нравится этот трофей, Красный, подожди, пока у тебя не будет шкаф, полный таких!"
subtitle:Coach_PGG_ClockWinPractice:1,Coach_PGG_ClockWinPractice,Coach_PGG_ClockWinPractice_es,1,"[ТРЕНЕР ЙОАЧ] Не говори мне, что ты позволишь часам победить просто потому, что это тренировка!!"
subtitle:Coach_PGG_CoachOfYear:1,Coach_PGG_CoachOfYear,Coach_PGG_CoachOfYear_es,1,"[ТРЕНЕР ЙОАЧ] Ха-ха-а! Тренер года, я иду!"
subtitle:Coach_PGG_ColorMeCoach:1,Coach_PGG_ColorMeCoach,Coach_PGG_ColorMeCoach_es,1,"[ТРЕНЕР ЙОАЧ] Раскрасьте меня, тренер! Вы просто рветесь вперёд!"
subtitle:Coach_PGG_Computerino:1,Coach_PGG_Computerino,Coach_PGG_Computerino_es,1,[ТРЕНЕР ЙОАЧ] Компьютерино!
subtitle:Coach_PGG_Cost30Bucks:1,Coach_PGG_Cost30Bucks,Coach_PGG_Cost30Bucks_es,1,"[ТРЕНЕР ЙОАЧ] Если хочешь это оставить, это будет стоить тридцать баксов!"
subtitle:Coach_PGG_CountdownToPowertown:1,Coach_PGG_CountdownToPowertown,Coach_PGG_CountdownToPowertown_es,1,[ТРЕНЕР ЙОАЧ] Это обратный отсчёт до города силы!!
subtitle:Coach_PGG_CourseCurators:1,Coach_PGG_CourseCurators,Coach_PGG_CourseCurators_es,1,[ТРЕНЕР ЙОАЧ] Как эта головоломка прошла мимо кураторов курса??
subtitle:Coach_PGG_DiceChocolateBox:1,Coach_PGG_DiceChocolateBox,Coach_PGG_DiceChocolateBox_es,1,[ТРЕНЕР ЙОАЧ] Пора бросить кости на эту шоколадную коробку!
subtitle:Coach_PGG_DictionaryGotNothing:1,Coach_PGG_DictionaryGotNothing,Coach_PGG_DictionaryGotNothing_es,1,"[ТРЕНЕР ЙОАЧ] Словарь не знает о тебе ничего, малыш!"
subtitle:Coach_PGG_DontGoHead:1,Coach_PGG_DontGoHead,Coach_PGG_DontGoHead_es,1,[ТРЕНЕР ЙОАЧ] Не дай этому зайти тебе в голову. Сосредоточься.
subtitle:Coach_PGG_DontStop:1,Coach_PGG_DontStop,Coach_PGG_DontStop_es,1,[ТРЕНЕР ЙОАЧ] Не останавливайся ни на что!!
subtitle:Coach_PGG_DoorNumberOne:1,Coach_PGG_DoorNumberOne,Coach_PGG_DoorNumberOne_es,1,[ТРЕНЕР ЙОАЧ] Что за дверью номер один? Это вы!!
subtitle:Coach_PGG_Doorbuster:1,Coach_PGG_Doorbuster,Coach_PGG_Doorbuster_es,1,[ТРЕНЕР ЙОАЧ] Да! Поэтому мы называем их разрушителями дверей!
subtitle:Coach_PGG_ExclamationSetBack:1,Coach_PGG_ExclamationSetBack,Coach_PGG_ExclamationSetBack_es,1,"[ТРЕНЕР ЙОАЧ] Восклицание, это откат!"
subtitle:Coach_PGG_FindStuff:1,Coach_PGG_FindStuff,Coach_PGG_FindStuff_es,1,[ТРЕНЕР ЙОАЧ] Идите туда и найдите вещи!
subtitle:Coach_PGG_FirstFinishTrophy:1,Coach_PGG_FirstFinishTrophy,Coach_PGG_FirstFinishTrophy_es,1,"[ТРЕНЕР ЙОАЧ] Первый, кто финиширует, забирает трофей!"
subtitle:Coach_PGG_FlippingOut:1,Coach_PGG_FlippingOut,Coach_PGG_FlippingOut_es,1,[ТРЕНЕР ЙОАЧ] Я схожу с ума!!
subtitle:Coach_PGG_GemBackstab:1,Coach_PGG_GemBackstab,Coach_PGG_GemBackstab_es,1,"[ТРЕНЕР ЙОАЧ] Тебе нравится этот камень, но подожди, пока он не ударит тебя в спину!"
